Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;Number of Smells;ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/initFields;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/isInitialized;4.0.0;7;4;4;1;0;2;3;0;1;5;22;0;22;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/writeTo;4.0.0;9;4;3;0;1;1;5;0;1;4;50;0;50;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getSerializedSize;4.0.0;14;5;4;0;0;1;9;1;1;4;66;0;66;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseFrom;4.0.0;2;1;0;0;1;0;1;0;1;4;14;0;14;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseFrom;4.0.0;2;1;0;0;2;0;1;0;1;4;21;0;21;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseFrom;4.0.0;2;1;0;0;1;0;1;0;1;3;9;0;9;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseFrom;4.0.0;2;1;0;0;2;0;1;0;1;4;22;0;22;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseFrom;4.0.0;2;1;0;0;1;0;1;0;1;4;11;0;11;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseFrom;4.0.0;2;1;0;0;2;0;1;0;1;3;18;0;18;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseDelimitedFrom;4.0.0;6;2;1;0;1;1;2;1;1;3;24;0;24;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseDelimitedFrom;4.0.0;6;2;1;0;2;1;2;1;1;3;30;0;30;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseFrom;4.0.0;2;1;0;0;1;0;1;0;1;3;12;0;12;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/parseFrom;4.0.0;2;1;0;0;2;0;1;0;1;3;18;0;18;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/newBuilder;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/newBuilderForType;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/newBuilder;4.0.0;2;1;0;0;1;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/toBuilder;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/create;4.0.0;4;1;0;1;0;0;3;1;1;3;12;0;12;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/internalGetResult;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/clear;4.0.0;5;2;1;0;0;1;3;0;1;4;24;0;24;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/clone;4.0.0;2;1;0;1;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptorForType;4.0.0;2;1;0;0;0;0;1;0;1;4;9;0;9;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDefaultInstanceForType;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/isInitialized;4.0.0;2;1;0;0;0;0;1;0;1;4;8;0;8;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/build;4.0.0;4;2;1;0;0;1;2;0;1;4;20;0;20;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/buildParsed;4.0.0;4;2;1;1;0;1;2;0;1;4;26;0;26;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/buildPartial;4.0.0;6;2;1;0;0;1;4;1;1;4;32;0;32;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/mergeFrom;4.0.0;6;2;1;0;1;1;1;0;1;4;22;0;22;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/mergeFrom;4.0.0;11;5;4;0;1;1;6;0;1;4;40;10;50;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/mergeFrom;4.0.0;26;9;6;1;2;3;2;3;1;4;143;0;143;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/hasBody;4.0.0;2;1;0;0;0;0;1;0;1;3;5;0;5;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getBody;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/setBody;4.0.0;6;2;1;2;1;1;4;0;1;3;19;0;19;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/clearBody;4.0.0;4;1;0;1;0;0;3;0;1;4;13;0;13;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/hasSrcRegion;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getSrcRegion;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/setSrcRegion;4.0.0;6;2;1;2;1;1;4;0;1;4;21;0;21;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/clearSrcRegion;4.0.0;4;1;0;1;0;0;3;0;1;3;11;0;11;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/hasMsgId;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getMsgId;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/setMsgId;4.0.0;6;2;1;2;1;1;4;0;1;4;23;0;23;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/setMsgId;4.0.0;4;1;0;1;1;0;3;0;1;4;14;0;14;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/mergeMsgId;4.0.0;7;2;1;1;1;1;3;0;1;3;30;0;30;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/clearMsgId;4.0.0;4;1;0;1;0;0;3;0;1;4;13;0;13;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDefaultInstance;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDefaultInstanceForType;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptor;4.0.0;2;1;0;0;0;0;1;0;1;4;9;0;9;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/internalGetFieldAccessorTable;4.0.0;2;1;0;0;0;0;1;0;1;4;10;0;10;2;Yes
